sentence	sentence_id	locale	reason
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
क्या तुम आज रात मेरे साथ सेक्स करना चाहते हो?	009e0c8c43c76af8036f4d1ef94ac008dc41e47e83146d62f9011e22107ead88	hi	offensive-language
मेरी लुंड उसके लिए खड़ी हो गई है।	07baeb89207c1a3a5315722f59ddb01495b4b3eb58c1e7a76e16b8c4f9ad76f9	hi	offensive-language
मैं बहुत सारे चीज़ें करता हूँ।	096147bc284815c974fe2cd7bb57cf318227ccc098c4cb4da4dd060cc6cb8e83	hi	grammar-or-spelling
उनके रीति-रिवाज़ इस देश के से अलग हैं।	000c10ad50fae4dbf9457cacffc9801088b6d8970cf1f60d12e9c3fddd91c883	hi	grammar-or-spelling
मुझे लगता है मैरी को मैं अच्छा लगती हूँ।	298e28913180bc231fedc9b04c4cd59cf34b596a82884cc4b2d7d4f93509e9aa	hi	grammar-or-spelling
मुझे लगता है मैरी को मैं अच्छा लगती हूँ।	298e28913180bc231fedc9b04c4cd59cf34b596a82884cc4b2d7d4f93509e9aa	hi	grammar-or-spelling
उसने तुम से क्या कहाँ?	2a240da1be3e808fccfb9f98d8f687a7118d999b87b3cdf25c658a1c0a1a444d	hi	grammar-or-spelling
मुझे लगता है मैरी को मैं अच्छा लगती हूँ।	298e28913180bc231fedc9b04c4cd59cf34b596a82884cc4b2d7d4f93509e9aa	hi	grammar-or-spelling
मैंने अपनी मम्मी को बर्तन धोने में मदद करी।	2b9b4af24178a64bb73f3bcb3be794a3e1246dff948606a7e8f91fcd88576d26	hi	grammar-or-spelling
मैं बहुत सारे चीज़ें करता हूँ।	096147bc284815c974fe2cd7bb57cf318227ccc098c4cb4da4dd060cc6cb8e83	hi	grammar-or-spelling
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
मुझे डिल्डो इस्तेमाल करना अच्छा नहीं लगता, उससे अच्छा मुझे असली लंड पसंद हैं।	088fdd491dadd613b9a769ffe707e71078a231d2daa4f881352bdf3e38aac785	hi	offensive-language
कहावत तो आपने सुनी ही होगी: लंबा नाक, लंबा लंड।	2d3c464a1bed7790f2ba1d52967bc73ad8a3af7f56b2a340c2e6fa6bc0c70f8a	hi	offensive-language
मैंने उस औरत को गस्सा दिलाया।	24c918eb2a75bfe75ca2a7ea64ccf2e3356e4c18cfb226bef4da0325178ba4c1	hi	grammar-or-spelling
