sentence	sentence_id	locale	reason
互协方差通常用于通过与已知信号做比较从来寻找未知信号的特点。	2cefabeef1eacd0e48f2836630d86c4c1480f87c02a88b1d12bdb0f8a6639cf6	zh-CN	????
泥礼拥立遥辇氏迪辇组里为阻午可汗。	2ce1ecc2e97d68580df886cdbccd4c90dbefdf5530d601198c54a91ef0c1cd0f	zh-CN	grammar-or-spelling
安哥斯图娜的苦味往往错误地认为含有毒性的物质。	2d31bfa217fc1cb30403104e776d6bcfe2ec620ec735b534a0449c3dc6af3592	zh-CN	grammar-or-spelling
利用光谱仪器探讨分子内并列平行双键间之跨环化学反应及高共轭效应。	2cbf4c02bf602539fa950a45055613296fc4ec3c079ede7af1c01ef65db9a701	zh-CN	grammar-or-spelling
此外异黄酮作为前体的发展植物抗毒素在植物微生物的相互作用。	2a34cbe88f4b6792ceb371cc05c907e16c21cb88156668738461d52e7edd2240	zh-CN	grammar-or-spelling
互协方差通常用于通过与已知信号做比较从来寻找未知信号的特点。	2cefabeef1eacd0e48f2836630d86c4c1480f87c02a88b1d12bdb0f8a6639cf6	zh-CN	grammar-or-spelling
这提供了治疗男性不育缺憾的可能性。	2e21a2cfaee9f7ba4e52220a930d3391a0d1f49b915c667e9a5d83e2798c2ce1	zh-CN	offensive-language
这提供了治疗男性不育缺憾的可能性。	2e21a2cfaee9f7ba4e52220a930d3391a0d1f49b915c667e9a5d83e2798c2ce1	zh-CN	difficult-pronounce
互协方差通常用于通过与已知信号做比较从来寻找未知信号的特点。	2cefabeef1eacd0e48f2836630d86c4c1480f87c02a88b1d12bdb0f8a6639cf6	zh-CN	grammar-or-spelling
北宋着名画家。	2b46e9e19571ece6a329f58a07602b9ae38d5c83dd192232ebdd563548e4d914	zh-CN	grammar-or-spelling
向地震男死者的家庭致哀。	2b656a771b13976742134b84fb9d0f6f9c7afdd74dbeeaa2f5207550ae99091f	zh-CN	grammar-or-spelling
欧风咖哩亦有用奶油炒面糊来令煮出来的咖喱汁变稠成为咖喱酱。	2c4b508d7fd7293b7ba60cd8623fed0bf9535eecc2d0f2f5399ae3edbe55884b	zh-CN	grammar-or-spelling
一般脱毛后在一到两个星期毛就回重新长出来。	24fe5bf32d2f36a0d94e747e9335f83308a503a1a528235fdfdb5831b9ec4449	zh-CN	??????????????????????????????
浅裂掌叶树为五加科罗伞属的植物。	312b6c31f98c8a0ab3f8232f7d44b9edb11fedb84cca8ec14aef30a654f19542	zh-CN	grammar-or-spelling
浅裂掌叶树为五加科罗伞属的植物。	312b6c31f98c8a0ab3f8232f7d44b9edb11fedb84cca8ec14aef30a654f19542	zh-CN	offensive-language
